2025-02-04 15:45:11 status unpacked libxml2:amd64 2.9.13+dfsg-1ubuntu0.5
2025-02-04 15:45:11 status half-configured libxml2:amd64 2.9.13+dfsg-1ubuntu0.5
2025-02-04 15:45:11 status installed libxml2:amd64 2.9.13+dfsg-1ubuntu0.5
2025-02-04 15:45:11 trigproc libc-bin:amd64 2.35-0ubuntu3.8 <none>
2025-02-04 15:45:11 status half-configured libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 15:45:11 status installed libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 17:38:28 startup archives unpack
2025-02-04 17:38:28 upgrade libpam0g:amd64 1.4.0-11ubuntu2.4 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status triggers-pending libc-bin:amd64 2.35-0ubuntu3.8
2025-02-04 17:38:28 status half-configured libpam0g:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status unpacked libpam0g:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status half-installed libpam0g:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status unpacked libpam0g:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 startup packages configure
2025-02-04 17:38:28 configure libpam0g:amd64 1.4.0-11ubuntu2.5 <none>
2025-02-04 17:38:28 status unpacked libpam0g:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status half-configured libpam0g:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status installed libpam0g:amd64 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 startup archives unpack
2025-02-04 17:38:28 upgrade libpam-modules-bin:amd64 1.4.0-11ubuntu2.4 1.4.0-11ubuntu2.5
2025-02-04 17:38:28 status half-configured libpam-modules-bin:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status half-installed libpam-modules-bin:amd64 1.4.0-11ubuntu2.4
2025-02-04 17:38:28 status triggers-pending man-db:amd64 2.10.2-1
2025-02-04 17:38:28 status unpacked libpam-modules-bin:amd64 1.4.0-11ubuntu2.5
